Adresse du logement (N° et nom de la rue),Code postal du logement,Description de l'état du logement,Photo témoignant de l'indignité des lieux,Le bailleur est un bailleur,Le logement a déjà été frappé d'un arrêté de péril imminent
20 Rue du Baignoir,13001,"d'apparence générale moyenne voir bonne mais :_x000D_
- la conduite d'évacuation des eaux cède janvier 2018. réparée mais fuite encore quelque fois. le mur imbibé d'eau et d'excréments n'a jamais été réparé._x000D_
- les escaliers sont en mauvais état_x000D_
- la peinture des murs commence à s'écailler_x000D_
- souris et rats envahissent mon appartement_x000D_
à noter qu'il est dommage que je puisse joindre une seule photo",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/5c9b0cc64945-cage_escalier_1.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvNWM5YjBjYzY0OTQ1LWNhZ2VfZXNjYWxpZXJfMS5qcGc%2FWC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBSlhZVFFDNVRESVNCVDUzUSUyRjIwMTgxMTExJTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDE4MTExMVQxMjM3MjdaJlgtQW16LUV4cGlyZXM9ODY0MDAmWC1BbXotU2lnbmVkSGVhZGVycz1ob3N0JlgtQW16LVNpZ25hdHVyZT0yMWM0ZDYwMzhhMGVhODYzY2Y3MDJjOGZlYzFiYTIwYzgzMzJjNDJlY2YzNzZmMTg0MWI2Y2Y0YTFmNWIyNzA2,privé,Je ne sais pas
67 rue francis davso,13001,une grand fissure qui va du haut jusqu'en bas de l'immeuble avec un apaisement clair dans la cuisine de mon appartement ,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/f30c034df7f3-DSC_0163.JPG?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvZjMwYzAzNGRmN2YzLURTQ18wMTYzLkpQRz9YLUFtei1BbGdvcml0aG09QVdTNC1ITUFDLVNIQTI1NiZYLUFtei1DcmVkZW50aWFsPUFLSUFKWFlUUUM1VERJU0JUNTNRJTJGMjAxODExMTElMkZ1cy1lYXN0LTElMkZzMyUyRmF3czRfcmVxdWVzdCZYLUFtei1EYXRlPTIwMTgxMTExVDEzNDE0OFomWC1BbXotRXhwaXJlcz04NjQwMCZYLUFtei1TaWduZWRIZWFkZXJzPWhvc3QmWC1BbXotU2lnbmF0dXJlPWZkMTJiOWVkMWU0NjJjZjI4ZTllYjRhYTQyYzA4OTNiMTE5NjI0MDhjNTVlMWM1ODhlM2NhZmM1YzVhMDE4MTI%3D,je ne sais pas,Je ne sais pas
69 rue Sénac,13001,"Ancien squat, planchers troués et flambés, gouttières percées, façades défoncées, infiltrations des eaux de pluie, escaliers délabrés ",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/cbdb48d19115-IMG_20181111_143230.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvY2JkYjQ4ZDE5MTE1LUlNR18yMDE4MTExMV8xNDMyMzAuanBnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExMSUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMTFUMTM0OTMyWiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9NzllZDYyZTcxNDY3MDM2MjA5M2FmMzk3Y2FkMTMxNjk5YzM1MDg5NTRlNTRkYjQ0MDkzMTc0M2ZlNDEzMTY5YQ%3D%3D,privé,Je ne sais pas
"82, rue sénac de meilhan",13001,"- Infiltrations anciennes accumulées depuis plusieurs années, suite à la _x000D_
réfection très mal conduite de la toiture de l'immeuble, devenues graves au fil du temps et provoquant une situation _x000D_
d'insalubrité et de risque pour notre santé et notre sécurité",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/d12df61f866d-fin_oct18.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvZDEyZGY2MWY4NjZkLWZpbl9vY3QxOC5qcGc%2FWC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBSlhZVFFDNVRESVNCVDUzUSUyRjIwMTgxMTExJTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDE4MTExMVQxNTEzMzlaJlgtQW16LUV4cGlyZXM9ODY0MDAmWC1BbXotU2lnbmVkSGVhZGVycz1ob3N0JlgtQW16LVNpZ25hdHVyZT04MzM5YTFhZWJkMTY1MDEzMzcyNWM2NzA2ZTE2MzkxZmY2N2EzZDZiYzJkMzJhMmI3MGMwNTYwOWVjZTUzNjIx,privé,Non
18/20 rue des feuillants,13001,"Ces photos sont prises du 19 rue du musée au 5ème étage. C'est le côté cours. Derrière, le toit en construction c'est l'hôtel des Feuillants. A ses pieds, l'hôtel meublé Univers, la boucherie service Paradis se trouvent au 18, et le boulanger  ""La table à pain"" au 20. Côté rue, la vétusté n'est pas criante, mais côté cours la façade est fissurée, noire de suie, les gouttières sont pendantes ou absentes, les toitures sont vétustes et probablement fuyantes, les bouches de cheminée ne sont pas à une hauteur réglementaire donc crachent la fumée dans la cour où respirent les habitants.",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/216c6392d737-IMG_20181111_163804.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvMjE2YzYzOTJkNzM3LUlNR18yMDE4MTExMV8xNjM4MDQuanBnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExMSUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMTFUMTY0MTI3WiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9YzViMjg4MGQyMTAwOGIyNzAzNDRjNjIyYTQ1Njk1YTUyOGMzYjMxYTllYmExZDJlNmYwYjUxYWI3ZjM3MzhlZg%3D%3D,privé,Non
136 rue Consolat,13001,Bon état,,privé,Non
Pas d'adresse,13001,,,je ne sais pas,
1 traverse saint bazile,13001,Je ne connais pas l’intérieur. Je passe tout les jours dessous. Plusieurs  morceaux de façade se sont effondrés. On voit depuis l’extérieur les nombreuse fissures du bâtiment sous les fenêtres mais aussi tout le long du mur (a cote de la gouttière).,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/c6c6a7dd6f77-Screen_Shot_2018_11_12_at_13.05.13.png?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvYzZjNmE3ZGQ2Zjc3LVNjcmVlbl9TaG90XzIwMThfMTFfMTJfYXRfMTMuMDUuMTMucG5nP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExMiUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMTJUMTIwNzM5WiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9NGQ2OWY2ODQxMjRhY2E3ZGRlNmRkMWJlM2RlNjYzMzc4NDdkY2JlNTdlYzBhZTk4NTBlNWE4NzI2Yjk5NGExYg%3D%3D,je ne sais pas,Je ne sais pas
11 cours jean Ballard ,13001,"Situé au 4ème étage, en partie sous les toits, il pleut depuis avril 2017 sur notre lit par le plafond. La barre de rideaux s’est décrochée à force’ d’humidité sur le plafond en placo. Résultat, le plafond est troué et totalement humide, de grosses auréoles s’étendent. La pluie passe sous la fenêtre et ruisselle dans l’appartement tel un ruisseau. _x000D_
Nous sommes par ailleurs envahis par des armées de cafards depuis des années. ",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/b596b6509bcb-DC8015C2_84E7_4F58_AD62_0CF69DDC0C9A.jpeg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvYjU5NmI2NTA5YmNiLURDODAxNUMyXzg0RTdfNEY1OF9BRDYyXzBDRjY5RERDMEM5QS5qcGVnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExMiUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMTJUMTUwMjM0WiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9ZWQyNjYwMWJjNGJlOTQ2ODhiODkzZTdiNzlmZjM0NzIzZGQ2YjcxM2QzNzE5OWQwZDVmYTRlMDVmMzFkYWYxNQ%3D%3D,privé,Non
29 rue de la Palud,13001,"Il pleut du plafond, entre les poutres (il s’agit d’un studio qui est directement sous les combles. _x000D_
La cage escalier est immonde. À l’entrée, deux conditionnateurs sont installés dans le mur, expulsant de l’eau directement dans le mur",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/fe98bbad5745-381491BE_4A6C_41D0_9DA0_2D0820AC9FA3.jpeg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvZmU5OGJiYWQ1NzQ1LTM4MTQ5MUJFXzRBNkNfNDFEMF85REEwXzJEMDgyMEFDOUZBMy5qcGVnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExMiUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMTJUMjExNTMwWiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9YTJlZjI3Y2YwNDQ0MjJjMDJhMWZkMThlNWM4MDU2YmY0NzY5NTQ2ZmVhZTc4ZDNlZDFhYjRjMGQ1MDJjMGE0ZQ%3D%3D,privé,Je ne sais pas
"10,rue cheateauredon",13001,"D'importants dégâts des eaux dans l'appartement et fragilisant l'ensemble de l'immeuble,ceci depuis l'accession à l'appartement, en juin 2007. Malgré de nombreuses relances, rien n'a été fait à ce jour.Cet été, une partie du plafond s'est écroulé, il pleut dans l'appartement.Je vous joins le compte rendu du dernier expert en date, mais il a oublié de diagnostiquer les fuites de la gouttière donnant sur cour. J'ai un autre compte rendu datant de 2015, mais je n'arrive pas à le joindre via ce formulaire.",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/497993ed3bc4-VID_20181007_WA0001.mp4?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvNDk3OTkzZWQzYmM0LVZJRF8yMDE4MTAwN19XQTAwMDEubXA0P1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExMyUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMTNUMTA1MzM0WiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9OTkxMDU3NjBmMGM3N2U5NmIwMGE0ZDlhMTczY2RhMzRkMTE0YmUzOGJjZTdmM2U4NjExYzE1YzI1MTBhN2M4NQ%3D%3D,privé,Non
19 rue Jean roque ,13001,Délabré ,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/a92c6db719cd-IMG_20181114_090943.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvYTkyYzZkYjcxOWNkLUlNR18yMDE4MTExNF8wOTA5NDMuanBnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExNCUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMTRUMDgxOTMyWiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9OTRiZTlhM2UwNTJlYjI1YThkZGEwNzRhNzczMjdiYWRlMDllNzY3Y2ZiZjVhZTYzZDhhZDc3YWY5OWI1ZTlmZg%3D%3D,privé,Non
"9, rue de la grande armèe",13001,Il y a 4 longues fissures sur les 4 côtés du plafond. Il manque un mm de plâtre et le plafond va à tomber dans la tête de mes ex voisins. J'ai des autres photos.,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/23115c8a5c16-IMG_9292.JPG?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvMjMxMTVjOGE1YzE2LUlNR185MjkyLkpQRz9YLUFtei1BbGdvcml0aG09QVdTNC1ITUFDLVNIQTI1NiZYLUFtei1DcmVkZW50aWFsPUFLSUFKWFlUUUM1VERJU0JUNTNRJTJGMjAxODExMTUlMkZ1cy1lYXN0LTElMkZzMyUyRmF3czRfcmVxdWVzdCZYLUFtei1EYXRlPTIwMTgxMTE1VDAyMDU1MVomWC1BbXotRXhwaXJlcz04NjQwMCZYLUFtei1TaWduZWRIZWFkZXJzPWhvc3QmWC1BbXotU2lnbmF0dXJlPTEzZmEwZjM3NTJjNmVjOTcwMzgxZDEyNWU5NGExYTJhNjZiN2RlZDRjZGZjZjY4YzQ0YTU2MWMwNTg5YTM2N2E%3D,privé,Non
10 rue longue des capucins,13001,"Mon logement est en état moyen, immeuble  restauré en contre plaqué donc impossibilité de voir des fissures a part dans la cage d'escalier ( ou il y en as)Photo a l'appuis. Mon signalement porte surtout sur les immeubles voisins.L'immeuble voisin ( le n° je pense)a été vide et en ruine pendant pres de 10 ans. Tout est en train d’être refait en contre plaqué mais comment les murs tiennent? c'est inquiétant sachant qu'il n'y a pas de fenêtre, qu'on voyait le jour dans les plafonds de chaque étage et que l'escalier était effondrée il y encore quelques semaines.Le n°4 ( par déduction) est habité des dans un etat encore plus alarmant. Photo à l'appuis. La façade du 12 en dessus de l'ancienne boucherie Cantini flandrin est également fissurée.",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/61391b02f934-photo_rue_longue_des_capucins.png?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvNjEzOTFiMDJmOTM0LXBob3RvX3J1ZV9sb25ndWVfZGVzX2NhcHVjaW5zLnBuZz9YLUFtei1BbGdvcml0aG09QVdTNC1ITUFDLVNIQTI1NiZYLUFtei1DcmVkZW50aWFsPUFLSUFKWFlUUUM1VERJU0JUNTNRJTJGMjAxODExMTYlMkZ1cy1lYXN0LTElMkZzMyUyRmF3czRfcmVxdWVzdCZYLUFtei1EYXRlPTIwMTgxMTE2VDE2MTgzOVomWC1BbXotRXhwaXJlcz04NjQwMCZYLUFtei1TaWduZWRIZWFkZXJzPWhvc3QmWC1BbXotU2lnbmF0dXJlPTE5Mjk0MGE2ZTg3YmEwNTg2YzQ5MjYwMmQwNzI2MDM4OGIwNDY2OTgyMmUzYzM5NzZlMDU2NzM2ZmU5MmQ1NWQ%3D,je ne sais pas,Je ne sais pas
20 rue du baignoir,13001,"L'immeuble est totalement en ruine, les escaliers s'effondrent, l'immeuble entier est soutenue par des échafaudages, les murs sont pourrie et envahit de souris, les canalisation sont toutes à refaire et il y a déjà eu de nombreuses fuites et des odeurs d'animaux se dégagent a l'entrée de l'immeuble. Je suis actuellement dans ce logement car je suis étudiante et le loyer est faible. Mais j'aimerais changer le plus rapidement possible pour ma sécurité.",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/2e56c865a465-20181117_084807.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvMmU1NmM4NjVhNDY1LTIwMTgxMTE3XzA4NDgwNy5qcGc%2FWC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBSlhZVFFDNVRESVNCVDUzUSUyRjIwMTgxMTE3JTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDE4MTExN1QwODEzMzlaJlgtQW16LUV4cGlyZXM9ODY0MDAmWC1BbXotU2lnbmVkSGVhZGVycz1ob3N0JlgtQW16LVNpZ25hdHVyZT1hYmE1YzhiYjgxYWVmNjA2N2QyYTllZWJmOTBjMGI3ZGIzMTIwOTI0ZmM1NTNjMDc5N2QwZjZjMmE5ODI2OTZm,privé,Je ne sais pas
25 bd liberation,13001,vétuste,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/061b8c7ad196-IMG_20181116_095953494.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvMDYxYjhjN2FkMTk2LUlNR18yMDE4MTExNl8wOTU5NTM0OTQuanBnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExNyUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMTdUMDg1NDU4WiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9MzMwZmQ5MzQ3MGEyOGMzNTgwMzFhZDA3YzZhMjE1ODk0OTQ0ZDhjZTE5MTdmMzA5ZTgzYTI5MWE3ZjA3OTMxOQ%3D%3D,privé,Oui
25 rue Jean roque ,13001,"Sale, déchets et urine dans la cage d’escalier et dans les escaliers. Boîtier électrique avec des fils qui sortent du mur dans tous les sens. Pas aux normes. Escaliers et sols pas droits, fissures sur les murs. ",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/ca489cd898c1-F447CD5E_099B_4207_8F6D_80B7AEAE3742.jpeg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvY2E0ODljZDg5OGMxLUY0NDdDRDVFXzA5OUJfNDIwN184RjZEXzgwQjdBRUFFMzc0Mi5qcGVnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExNyUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMTdUMDg1NjM2WiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9ZGIzNDdkYWQ1YjRhYzc1ZGRmZDMzODg3M2UzY2VlNzE2ZmM0MTgwZmM0ZmQ1MDMxYzA0ODFlMzE3MTM3NWQ0MQ%3D%3D,privé,Je ne sais pas
41 rue senac ,13001,Dangereux ,,je ne sais pas,Je ne sais pas
6 boulevard Dugommier,13001,"Sol penché au 2e étage. Plafond penché au 3e étage. Fissures importantes sur la façade, dans les parties communes et dans les appartements. Escaliers qui s'effritent. ",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/d714d29868cb-IMG_0355.JPG?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvZDcxNGQyOTg2OGNiLUlNR18wMzU1LkpQRz9YLUFtei1BbGdvcml0aG09QVdTNC1ITUFDLVNIQTI1NiZYLUFtei1DcmVkZW50aWFsPUFLSUFKWFlUUUM1VERJU0JUNTNRJTJGMjAxODExMTclMkZ1cy1lYXN0LTElMkZzMyUyRmF3czRfcmVxdWVzdCZYLUFtei1EYXRlPTIwMTgxMTE3VDE5MjcwMlomWC1BbXotRXhwaXJlcz04NjQwMCZYLUFtei1TaWduZWRIZWFkZXJzPWhvc3QmWC1BbXotU2lnbmF0dXJlPTNlZTVmMmFhZDE2ZDAzNmYzZWZlNDhkYThiMzA3NzUxYjRlNDkxOTVlMjRhMGVmYzMyYTQ0Mjk3YTQxNjNiYzM%3D,privé,Je ne sais pas
6 bd Dugommier,13001,"Fissures dans les appartements, dans les parties communes et sur la facade. Aucun entretien de la copro",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/3f8e48cad117-6DFC72F8_D180_44D5_BAFF_188E5B1E33DD.jpeg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvM2Y4ZTQ4Y2FkMTE3LTZERkM3MkY4X0QxODBfNDRENV9CQUZGXzE4OEU1QjFFMzNERC5qcGVnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExOCUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMThUMTQzMzI2WiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9NDZjYzdkMDU3YTM3NDlkY2ZjMDNmNjM4ODljNDQyMjFiMTYwNzBiY2IyMTQ0NGZhYWY5ZjExNWYyZGU4ZGYyNQ%3D%3D,privé,Je ne sais pas
64 rue d'Aubagne,13001,Murs rempli d'humidité ; étai à la terrasse; toiture en très mauvais état. Entresol avec des trous dans le sol,,privé,Oui
30 rue saint saens,13001,"Dernier étage infiltrations d eau, toiture pourrie, murs infiltrés d eau...",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/fe8efcddb6db-IMG_20181103_194239684.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvZmU4ZWZjZGRiNmRiLUlNR18yMDE4MTEwM18xOTQyMzk2ODQuanBnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExOSUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMTlUMTcxMTI4WiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9NGViMDU1ZDNiN2Y5MGFkZmIyNzU2YTJiNmVkNzAxYzg0MDJiMGEzNzUzYWNkNWFiZWNiYjIwMDkzODJkZWQwOA%3D%3D,privé,Non
3 rue du coq,13001,"Murs lézardés à plusieurs endroits, carrelage fissuré à trois endroits entre les pièces. Espacement entre le sol et les plinthes à certains endroits. Le 23/02/2017 le plafond de la salle de bains est tombé sur le faux plafond et depuis l'intervention des pompiers pour crever le plafond et dégager les gravats, il est resté tel quel avec chute de poussière, de gravats quotidiennes. Présence de moisissures dans la salle de bains et une chambre. Présence de moisissures dans la cage d'escalier.",https://api.typeform.com/forms/w1hLPb/responses/1c8a9c7c1c43644b43f615a07d73b9b1/fields/Myuxql01XqGd/files/f2966f4dc5c3-16977116_10155019685734648_849955574_n.jpg,privé,Non
3 rue de la palud,13001,Immeuble donc la facade s'écroule depuis 1 an. des étais retiennent les fenetres. depuis la catastrophe rue d'aubagne la porte d'entrée a été murée et de gros bloc de betons ont été mis ds la rue pour empecher les gens d'y accéder... ça ne sert à rien si demain ça s'éfondre les gens passent en dessous qd meme ,,je ne sais pas,Oui
37 rue Thubaneau,13001,"Insalubrité, fissures, effondrement de toiture, affaissement des murs, inflitrations, affaissement des paliers, effondrement de toiture, humidité",https://api.typeform.com/responses/files/936675fe8e5d0e2001685e150a82172da20ecf5138a7dde65732e931b5390303,privé,Oui
35 rue du petit puits 13001,13002,Délabrement,,je ne sais pas,Je ne sais pas
